127.0.0.1 - - [04/Feb/2021:22:23:21 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:04:40 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:04:40 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:05:19 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:05:19 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:08:27 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:08:27 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:08:48 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:08:49 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:30 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:30 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:31 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:31 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:32 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:32 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:32 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:32 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:32 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:09:32 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:10:19 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:10:19 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:00 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:01 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:01 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:01 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:02 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:02 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:02 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:02 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:23 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:23 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:11:23 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
